Organisation ID,Organisation name
BD386,One Medical Group
BD613,Dental Beauty Partners
BD447,Berkley Care Group
BD432,Integrated Care 24
BD394,Auditcare
BD241,Suffolk County Council
BD232,Healthcare Management Solutions
BD262,CLS Care Services Limited
BD347,Springcare Group
BD396,Handle with Care
BD572,Angle House Foundation
BD237,Metropolitan Housing Trust Limited
BD288,Ideal Care Homes
BD111,Diaverum Holding UK Limited
BD493,Cream Care
BD380,Capital Care Group
BD492,Satwinder Pawar
BD148,Housing & Care 21
BD235,Healthcare Homes
BD614,Dr Amit Rai
BD454,Hallmark Care Homes
BD213,Marie Stopes International
BD541,We Care Group
BD402,Caram
BD528,Charing Healthcare
BD496,Maple Group
BD118,Caremark
BD397,Hartford Care
BD387,ARTI Care Homes
BD272,Hampshire County Council
BD570,Buckland
BD344,Pulse Healthcare
BD350,Care Worldwide
BD124,ExtraCare
BD590,Together Dental
BD602,Atlaf Hussain
BD418,Sequence Care
BD296,Exemplar Health Care Limited
BD554,Care at Home Services
BD181,Optimax
BD120,Shaw Healthcare
BD510,MACC Care
BD195,Runwood
BD405,Window to the Womb
BD340,TLC Group
BD525,Rakesh Kotecha
BD458,Akari Care Limited
BD283,Somerset County Council (LD Services)
BD141,CareTech Community Services
BD430,Vocare
BD578,Envisage Dental UK Limited
BD188,Marie Curie Cancer Care
BD562,The Graham Care Group
BD425,Thera Group
BD157,Allied Care Limited
BD597,Gensmile Dental
BD278,Bristol City Council
BD372,Prestige Care
BD123,Caring Homes
BD342,HCA Hospitals
BD408,Oasis
BD286,Select Health Care
BD474,Noble Care
BD434,Perry Clayman Project
BD414,Brighton and Hove City Council
BD265,Making Space
BD416,Nottinghamshire County Council
BD443,Ishak Dental Practices
BD411,Time for Teeth
BD601,Crown Care
BD361,British Red Cross
BD524,Dentex Healthcare Group
BD367,Autism and Aspergers
BD179,St Andrew's Healthcare
BD277,Brandon Trust
BD546,Genesis Cancer Care UK Limited
BD354,Choices Housing Association
BD154,SeeAbility
BD160,Orders of St John Care Trust
BD391,Home Group
BD164,St Annes Community Services
BD127,Methodist Homes
BD257,Creative Support Limited
BD389,Swanton Care and Community
BD259,Leeds City Council
BD125,British Pregnancy Advisory Service
BD219,BUPA Group
BD392,Promis
BD619,Perfect Smile Dental
BD180,Jewish Care
BD508,Modality Partnership
BD308,Redwood Care
BD515,Alina Homecare
BD183,Choice Care Group
BD423,Aspire Care Group
BD192,Four Seasons
BD512,Qualia
BD486,Chislehurst Care
BD531,Lovell Family
BD631,Obex Dental
BD605,247 Dental Limited
BD538,ERS Transition Limited
BD622,TSJ Smile Dental Group
BD228,Bondcare
BD580,Smilepod London Dental Care
BD274,Kent County Council
BD563,RCB Healthcare
BD587,Alliance Dental Care Limited
BD501,Huskards Care
BD415,Cambridgeshire County Council
BD483,David Irandoust
BD417,Coventry City Council
BD628,Dental Care Group
BD573,Kiran Hanji and Chandan Hanji
BD533,Bhandal Care Services Group
BD420,Friends of the Elderly
BD201,Greensleeves
BD203,Somerset Care
BD591,Harunani & Co Group of Dental Surgeries
BD446,Your Health Group
BD627,SPA Dental Group
BD477,Holden Grange Care Group
BD304,Norfolk County Council
BD429,Concordia
BD185,Disabilities Trust
BD559,New Medical Systems Ltd
BD320,IntraHealth Limited
BD227,St Philips Care
BD607,Rosenmanor Limited
BD193,Sodexo
BD144,Priory Group
BD307,City and County Healthcare Group
BD506,Medacs Healthcare Ltd
BD400,Porthaven Care Homes
BD345,Bramley Health
BD532,SWCH Ltd
BD482,Elysium Healthcare
BD119,HF Trust Limited
BD505,Hales Group Ltd
BD485,Holmes Care Group
BD305,Radis Community Care
BD542,Woodgate Healthcare
BD287,Age UK
BD509,National Care Group
BD153,Minster Care Group
BD560,Dental Partners
BD250,Addaction
BD438,Apollo Care
BD595,Carholme Group Practice
BD353,AT Medics
BD254,Certitude
BD571,Hey Baby 4D
BD473,Blu Bell Healthcare
BD588,Antwerp Dental Group
BD455,Lotus Care
BD468,J and J Matheron
BD281,Devon County Council
BD424,Springfield Healthcare Group
BD282,Milestones Trust
BD436,Smile Dental Care
BD623,Oradent
BD479,Pearl Jackson
BD256,City Health Care Partnership CIC
BD410,Autism Together
BD620,Queensway Dental
BD616,A&U Dental
BD513,Arcare Homes
BD449,Only Care
BD267,Advance Housing and Support Limited
BD395,Good Companions
BD147,B & M Care
BD217,Home Instead
BD569,Mr B and Mr S Sohal
BD133,Turning Point
BD552,Smart Dental
BD247,Rodericks Limited
BD142,Optical Express
BD158,Prime Life Limited
BD511,Cinnamon Care Collection
BD461,Care Outlook
BD383,Key Change Care
BD129,St John of God Hospitaller Services
BD226,Voyage
BD236,Linkage Community Trust
BD368,Eastleigh Care Homes
BD293,Avery
BD632,Smile 2 Impress
BD329,Locala
BD603,Mr Sandeep Sharma
BD445,Optima Care Partnership
BD553,South Cliff Dental Group
BD594,Dental Design Studio
BD225,Real Life Options
BD276,Surrey County Council
BD453,Greentree Enterprises
BD186,The Royal British Legion
BD322,SSP Health Ltd
BD279,Care South
BD357,Equilibrium Healthcare Group
BD585,Prestige Dental Care Group
BD309,Brook
BD239,Accord Housing Association Limited
BD319,IMH Medical
BD174,Walsingham
BD189,Rethink
BD379,Joseph Heifetz
BD575,Smile Pad Dental Excellence
BD481,Alphonsus Care Services
BD504,Midshires Care Ltd
BD448,Laser and Skin Clinics
BD231,Virgin
BD338,Hurley Clinic Partnership
BD327,Riverdale Health Care
BD526,Carebase
BD318,CHD Living
BD156,Nuffield Health
BD306,Tracscare
BD459,Abbey Total Care Group
BD150,Sunrise Senior Living
BD240,Quantum Care Limited
BD115,Fresenius Medical Care Renal Services UK
BD517,Adept Care Homes
BD498,Welltower
BD298,Heathcotes Group
BD172,MacIntyre Care
BD472,Ashe Group
BD502,Central England Healthcare
BD507,Rosecare
BD441,Yourlife Management Services
BD363,Nationwide Healthcare
BD500,Absolute Care Central
BD567,Care UK
BD551,Johnson Care Ltd
BD494,Sania Shah
BD365,Sage Care Homes Group
BD604,Inspire Dental Group
BD626,Banning Dental Group
BD243,Bhandal Dental Practices
BD364,G4S
BD139,Livability
BD556,Devonshire Care
BD184,Dimensions
BD406,Aspen Healthcare
BD457,Jaydeep Patel
BD465,Abbey Healthcare
BD561,Charing
BD264,Lancashire County Council
BD586,Smiles Made Here Of UK Limited
BD421,Alternative Futures Group
BD537,Thames Ambulance Services Limited
BD522,Care & Support Services
BD352,Carewise Homes
BD356,Inmind Healthcare Group
BD598,Synergy Dental Clinic Ltd
BD577,Dr Carol Adeloye
BD579,JDRM Dental Care Limited
BD444,Suresh Sivagnanam
BD167,Avante Care & Support
BD114,Sk:n Ltd
BD187,Salvation Army
BD359,Portman Healthcare Limited
BD592,John G Plummer & Associates
BD205,Cygnet Health Care
BD536,St John Ambulance
BD497,Lalit Ambasana
BD621,P B Robinson (Doncaster) Limited
BD220,Sue Ryder
BD258,Genix Healthcare Dental Group
BD599,Churchlake Care
BD371,Pearl Healthcare Group
BD208,BMI Healthcare
BD289,InHealth Limited
